Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
209418632,All Your Pucking Secrets,A. Rivers,"Rivers, A.",,"=""199130000X""","=""9781991300003""",2,3.56,Two Roads Press Ltd,Kindle Edition,302,2024,,2024/10/26,2024/10/26,,,read,,,,1,0
214364158,"The Wrong Husband (Marriage by Contract, #1)",Maya Alden,"Alden, Maya",,"=""""","=""""",0,3.65,,Kindle Edition,271,2024,2024,2024/10/25,2024/10/25,,,read,,,,1,0
58658940,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""""","=""9780316371124""",4,4.11,"Little, Brown Books for Young Readers",Kindle Edition,400,2022,2022,2024/08/30,2024/08/24,,,read,,,,1,0
50531218,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""0241480744""","=""9780241480748""",4,4.19,Penguin,Hardcover,380,2021,2021,2024/08/24,2024/08/23,,,read,,,,1,0
52439531,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""1368052401""","=""9781368052405""",3,4.13,"Little, Brown Books for Young Readers",Hardcover,386,2020,2020,2024/08/23,2024/08/11,,,read,,,,1,0
183086339,"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",4,4.08,Simon & Schuster Children's UK,Kindle Edition,396,2024,2024,2024/08/14,2024/08/11,,,read,,,,1,0
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",4,4.17,,Kindle Edition,523,2023,2023,2024/08/08,2024/05/29,,,read,,,,1,0
217206738,"King of Wrath (Kings of Sin, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",5,4.04,,Kindle Edition,398,2022,2022,,2024/08/08,,,read,,,,2,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",0,4.29,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,,2024/07/29,to-read,to-read (#91),to-read,,,,0,0
54590489,The Diary Of A Young Girl,Anne Frank,"Frank, Anne",,"=""""","=""""",0,4.20,,Kindle Edition,,2020,1947,,2024/07/26,currently-reading,currently-reading (#2),currently-reading,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",2,3.98,Viking,Hardcover,288,2020,2020,2024/07/26,2024/05/29,,,read,,,,1,0
148584,"Elephants Can Remember (Hercule Poirot, #42)",Agatha Christie,"Christie, Agatha",,"=""0425067823""","=""9780425067826""",3,3.66,Berkley,Paperback,212,1984,1972,2024/07/25,2024/07/07,,,read,,,,1,0
7913305,"The Immortals of Meluha (Shiva Trilogy, #1)",Amish Tripathi,"Tripathi, Amish",,"=""""","=""""",0,4.14,Westland ,Paperback,436,2010,2010,,2024/07/18,to-read,to-read (#90),to-read,,,,0,0
62221614,Samsara: Enter the Valley of the Gods,Saksham Garg,"Garg, Saksham",,"=""0143458280""","=""9780143458289""",0,3.44,Penguin Random House India,Paperback,298,2022,,,2024/07/18,to-read,to-read (#89),to-read,,,,0,0
52219386,Almond,Sohn Won-Pyung,"Won-Pyung, Sohn",Joosun Lee,"=""0062961373""","=""9780062961372""",4,4.15,HarperVia,Hardcover,272,2020,2017,2024/07/15,2024/07/13,,,read,,,,1,0
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",5,4.25,"Little, Brown and Company",Kindle Edition,449,2013,1938,2024/07/13,2024/05/29,,,read,,,,1,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""0297851535""","=""9780297851530""",3,4.01,Broadway Paperbacks,Paperback,254,2007,2006,2024/07/09,2024/03/30,,,read,,,,1,0
22076,From a Buick 8,Stephen        King,"King, Stephen",,"=""0743211375""","=""9780743211376""",0,3.48,Scribner,Hardcover,356,2002,2002,,2024/07/07,to-read,to-read (#87),to-read,,,,0,0
169821456,From a Buck 8.,Stephen        King,"King, Stephen",,"=""""","=""""",0,5.00,Scribner New York,Unknown Binding,0,2002,,,2024/07/07,to-read,to-read (#86),to-read,,,,0,0
10603,Cujo,Stephen        King,"King, Stephen",,"=""0307348245""","=""9780307348241""",0,3.80,Debolsillo,Mass Market Paperback,432,2006,1981,,2024/07/07,to-read,to-read (#85),to-read,,,,0,0
10579,Everything's Eventual,Stephen        King,"King, Stephen",,"=""1416524355""","=""9781416524359""",0,3.97,Pocket,Mass Market Paperback,605,2005,2002,,2024/07/07,to-read,to-read (#84),to-read,,,,0,0
226377,"Childhood, Boyhood, Youth",Leo Tolstoy,"Tolstoy, Leo",Rosemary Edmonds,"=""0140441395""","=""9780140441390""",0,3.90,Penguin Classics / Penguin Books,Paperback,320,1981,1886,,2024/07/05,to-read,to-read (#83),to-read,,,,0,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.96,Random House,Paperback,321,1997,1997,,2024/07/02,to-read,to-read (#82),to-read,,,,0,0
2078076,The Collected Poems,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,4.25,Harper Perennial Modern Classics,Paperback,384,2018,1981,,2024/07/01,to-read,to-read (#81),to-read,,,,0,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",0,3.94,Vintage,Paperback,255,2001,1925,,2024/07/01,to-read,to-read (#80),to-read,,,,0,0
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",0,4.03,Vintage Books,Paperback,147,1991,1956,,2024/07/01,to-read,to-read (#79),to-read,,,,0,0
18386,The Death of Ivan Ilych,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""""","=""""",0,4.14,Waking Lion Press,Paperback,86,2006,1886,,2024/07/01,to-read,to-read (#78),to-read,,,,0,0
280455,The Gentle Spirit,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Fyodor Dostoyevsky,"=""141910134X""","=""9781419101342""",0,3.90,Kessinger Publishing,Paperback,86,2004,1876,,2024/07/01,to-read,to-read (#77),to-read,,,,0,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""000853277X""","=""9780008532772""",3,3.74,William Morrow,Paperback,319,2023,2023,2024/07/01,2024/03/30,,,read,,,,1,0
75491526,"King of Sloth (Kings of Sin, #4)",Ana Huang,"Huang, Ana",,"=""""","=""""",3,4.00,,Kindle Edition,466,2024,2024,2024/05/03,2023/12/23,,,read,,,,1,0
48617752,Everything My Mother Taught Me,Alice Hoffman,"Hoffman, Alice",,"=""1542091454""","=""""",2,3.98,Amazon Original Stories,Kindle Edition,28,2019,2019,2024/06/02,2024/06/01,,,read,,,,1,0
62848145,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,"=""1837901317""","=""9781837901319""",3,4.20,Bookouture,Kindle Edition,318,2023,2023,2024/06/09,2024/05/29,,,read,,,,1,0
39020,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"Mann, Charles C.",,"=""1400032059""","=""9781400032051""",0,4.05,Vintage,Paperback,563,2011,2005,,2024/07/01,to-read,to-read (#76),to-read,,,,0,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",0,4.20,Ballantine Books,Hardcover,384,2022,2022,,2024/06/29,to-read,to-read (#75),to-read,,,,0,0
16366,Endless Night,Agatha Christie,"Christie, Agatha",,"=""0007151675""","=""9780007151677""",4,3.81,Harper,Paperback,303,2007,1967,2024/06/27,2024/06/23,,,read,,,,1,0
207639332,Fool Me Twice,Nona Uppal,"Uppal, Nona",,"=""935708827X""","=""9789357088275""",0,3.64,Ebury Press,Kindle Edition,248,2024,,,2024/06/22,to-read,to-read (#74),to-read,,,,0,0
61157203,Oliver Twist : illustrated Abridged Children Classics English Novel with Review Questions (Illustrated Classics),Charles Dickens,"Dickens, Charles",,"=""9354402267""","=""9789354402265""",3,3.56,Wonder House Books,Hardcover,240,2021,,2024/06/11,2024/06/11,,,read,,,,1,0
199235727,"The Housemaid Is Watching (The Housemaid, #3)",Freida McFadden,"McFadden, Freida",,"=""1464223319""","=""9781464223310""",3,3.87,Sourcebooks,Paperback,364,2024,2024,2024/06/11,2024/06/06,,,read,,,,1,0
63400706,"Shatter Me. Le novelle vol. 1 (Shatter Me, #1.5, 2.5, 4.5)",Tahereh Mafi,"Mafi, Tahereh",Annarita Guarnieri,"=""8834741412""","=""9788834741412""",4,4.04,Fanucci Editore,Kindle Edition,235,2022,,,2023/12/23,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2023/12/23,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,,2023/12/23,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,912,2004,2003,,2023/12/23,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5,4.57,Scholastic,Paperback,734,2002,2000,,2023/12/23,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2023/12/23,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2023/12/23,,,read,,,,1,0
